,level_0,index,url,name,contentType,description,contentRating,genre,poster,releasedDate,actors,availableForOffline,numberOfSeasons,seasonStartDate,source,sourceLink,uniqId,scrapedAt
0,0,0,https://www.netflix.com/title/80189221,The Haunting of Hill House,TVSeries,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",18+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABXWSCy7mTvNQ4R_mRaos7N9eqE0Oz4rflqohffwToR5eHOxjTH3sZFanOs6uvTJUwGMRV92DolxC9Uj3tB74I8O99MS3.jpg?r=153,2018-10-12,"Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw",Available to download,1.0,2018-10-12,Netflix,https://netflix.com,85814dcd-729d-577f-873b-e3b7d9f21ab1,05/03/2022 14:51:34
1,1,2,https://www.netflix.com/title/80996601,Love Is Blind,TVSeries,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",16+,Wedding & Romance Reality TV,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTZxF2D-iZejyj2QtyzZUbhjeP4iLovBD1KwOGp2FAVx1pGsM1lmFkZOV55adGo9HYkQdKudVVCY4oJ7kbyMUS1vWFFq.jpg?r=a2c,2020-2-13,"Nick Lachey, Vanessa Lachey",Available to download,2.0,2020-2-13,Netflix,https://netflix.com,e5461057-25c2-59a5-8672-d4b4a102ee00,05/03/2022 14:51:37
2,2,5,https://www.netflix.com/title/81083626,Midnight Mass,TVSeries,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",16+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABc9P8ku8VMocCHKA1sMsqUQRtQAIvGHSsbV1NdCQJeeapuBP3M_B9nS0D_k4MjpoG_uYAoHy3qoo53yrSokVIYRTpSKY.jpg?r=a3e,2021-9-24,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Available to download,1.0,2021-9-24,Netflix,https://netflix.com,d452167a-817d-5526-9070-d7fc23e8ff67,05/03/2022 14:51:38
3,3,6,https://www.netflix.com/title/80180171,Kingdom,TVSeries,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",18+,Horror TV Serials,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABU9bHervQ-EtmiZVt8zsrEhQobTSgzXGHPmHaap3Xg8K7Nk5yhuD3uLDBeBBcoqFrPlyvlzaqxPGe7KTisTxFotu0lEJ.jpg?r=e6e,2019-1-25,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jun Suk-ho, Kim Hye-jun, Park Byung-eun, Huh Joon-ho",Available to download,2.0,2019-1-25,Netflix,https://netflix.com,ef1d6583-df37-5e68-b1aa-348697b6f302,05/03/2022 14:51:38
4,4,10,https://www.netflix.com/title/81015514,PIECES OF HER,TVSeries,A woman pieces together her mother's dark past after a violent attack in their small town brings hidden threats and deadly secrets to light.,18+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTfjcQNzfTbwfD6lpFW2wEvcfdYgLR7nG_6RNYMj7jZ03dEGfwbCRHrFDD_7pxtzoS26s-8n0YGvu5wyj_3wpGNzbGBs.jpg?r=fd6,2022-3-4,"Toni Collette, Bella Heathcote, Jessica Barden, Joe Dempsie, Omari Hardwick, Jacob Scipio, David Wenham, Gil Birmingham, Aaron Jeffery",Available to download,1.0,2022-3-4,Netflix,https://netflix.com,1a888770-1435-5440-97eb-284225c1075b,05/03/2022 14:52:01
5,5,12,https://www.netflix.com/title/80002479,Peaky Blinders,TVSeries,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.",18+,Period Pieces,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABXD7VvO6vbz6j7xTtYzDGUiVicKFh8clARB1dQP8rzC2hLAkVELp5qumxuG9_NzYpaDeh8zDORmNXzzjRNFHcyGttKfE.jpg?r=b6a,2015-12-31,"Cillian Murphy, Sam Neill, Helen McCrory, Paul Anderson, Iddo Goldberg, Annabelle Wallis, Sophie Rundle, Tom Hardy, Joe Cole, Ned Dennehy, Andy Nyman, Charlie Creed-Miles, Charlotte Riley, David Dawson, Jeffrey Postlethwaite, Matthew Postlethwaite, Ian Peck, Tony Pitts, Aidan Gillen, Adrien Brody, Charlie Murphy, Aimee-Ffion Edwards, Anya Taylor-Joy, Sam Claflin",Available to download,5.0,2015-12-31,Netflix,https://netflix.com,bf331d6b-e855-548c-8623-c6e04220c993,05/03/2022 14:52:01
6,6,13,https://www.netflix.com/title/81037371,Emily in Paris,TVSeries,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",16+,Romantic TV Comedies,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABV2yi7z0HdiAQsDBEnT8ZefuGpETCDq2WrmSezirRYJ__mfPVjhwtZX_qeAglF8DETKwrp4QTxP8a8RAQ8b7wSJdeduj.jpg?r=c03,2020-10-2,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Kate Walsh, Samuel Arnold, Bruno Gouery, Camille Razat, Lucien Laviscount, Kevin Dias",Available to download,2.0,2020-10-2,Netflix,https://netflix.com,367989cb-8972-54ab-9a13-f7990f4e0395,05/03/2022 14:52:02
7,7,16,https://www.netflix.com/title/81152777,Chosen,TVSeries,A 17-year-old girl finds her world turned upside down when she and her friends discover the disturbing truth lurking in their quiet Danish town.,18+,TV Thrillers,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABRl8QO7h2qE8Hbg5CXU1OSNuVA29bhMtt-NZYYf_27TWFUL3xst_2Xk1mohLB4MX3cMbe63k6EpBzpHdbdpetqasgE1C.jpg?r=67c,2022-1-27,"Malaika Berenth Mosendane, Andrea Heick Gadeberg, Andreas Dittmer, Albert Rudbeck Lindhardt, Mohamed Djeziri, Magnus Juhl Andersen, Anders Heinrichsen, Line Kruse, Henrik Prip, Marie Louise Wille, Ken Vedsegaard",Available to download,1.0,2022-1-27,Netflix,https://netflix.com,267f0f7e-53e5-52a4-aa2c-5768c7c5918f,05/03/2022 14:52:03
8,8,17,https://www.netflix.com/title/80145143,Bordertown,TVSeries,A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,18+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABduQizxVrwoWU7YEIc1RxA8jveUxIr5x-iHuzmW8hnUR-u6WhCl5_i54FnZU2ImMu3L_py-7HQV5fXzfghrUWjalDFbz.jpg?r=d22,2018-7-15,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Laura Malmivaara, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid, Kristiina Halttu",Available to download,3.0,2018-7-15,Netflix,https://netflix.com,eee0636f-48a9-5590-b746-5c6a81217fc7,05/03/2022 14:52:04
9,9,20,https://www.netflix.com/title/81228573,Komi Can't Communicate,TVSeries,"At a high school full of unique characters, Tadano helps his shy and unsociable classmate Komi reach her goal of making friends with 100 people.",13+,TV Shows Based on Manga,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABURrSlwq5rHPNicfjV0_KuzQKahKMEfd7NP_AeFATmlx_21bcCmc9lvva94YZvaXTGXotzWITg-F4lwB-jb7Hk8VOPSq.jpg?r=177,2021-10-21,"Aoi Koga, Gakuto Kajiwara, Rie Murakawa, Rina Hidaka, Rumi Okubo, Yukiyo Fujii, Ami Maeshima, Kenji Akabane, Yuga Sato, Kensho Ono, Sarah Emi Bridcutt, Junya Enoki, Maaya Uchida, Noriko Hidaka",Available to download,1.0,2021-10-21,Netflix,https://netflix.com,36f545ec-4dc7-5171-a30b-1349ab5958b2,05/03/2022 14:52:14
10,10,21,https://www.netflix.com/title/80027159,iZombie,TVSeries,A medical student-turned-zombie tries to retain her humanity by eating brains at the morgue and finds she has an uncanny new gift for solving crimes.,18+,TV Mysteries,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABUfmexD4olGSOJ3L2sVp3e8n15wZyfHkEUDqOa1HMCK1h6weHt-t9KdjGx4AKOxhP-_1Y2qmBaIlw7X_TDjluvQT2aEX.jpg?r=ce1,2016-4-30,"Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley, David Anders, Aly Michalka, Bryce Hodgson, Robert Knepper",Available to download,5.0,2016-4-30,Netflix,https://netflix.com,02c45fb5-3a06-5ba5-87bb-aef7f7e2d53c,05/03/2022 14:52:22
11,11,23,https://www.netflix.com/title/80995819,Inside Job,TVSeries,Lizard people? Real. The moon landing? Fake. Managing the world's conspiracies is a full-time job for an awkward genius and her dysfunctional co-workers.,18+,TV Comedies,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABVzScTphNtEKstAtiXXVZg0m_Ydf6zz18gSHqZcGgqWd25KevEn4R9A6-pJjIP7TSUsXt59Utxd08fwC-9WVjeKrnxhn.jpg?r=187,2021-10-22,"Lizzy Caplan, Christian Slater, Clark Duke, Tisha Campbell, Andrew Daly, Chris Diamantopoulos, John DiMaggio, Bobby Lee, Brett Gelman",Available to download,1.0,2021-10-22,Netflix,https://netflix.com,3656e04c-dffe-5dbb-8a5a-0fa4a0aeefd8,05/03/2022 14:52:25
12,12,24,https://www.netflix.com/title/80240027,Virgin River,TVSeries,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what -- and who -- she finds.",16+,TV Shows Based on Books,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTuF65tVnrYfrVcTRxYCmTcxn5AD-Y-kwhmc7DF4fjHnaR3kWYP3HbjyzDHtBqVwX7Qu8h6AoofiOrVs83Culoa0YUS_.jpg?r=44f,2019-12-6,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Lauren Hammersley, Grayson Gurnsey, Benjamin Hollingsworth, Sarah Dugdale, Zibby Allen, Jenny Cooper, Marco Grazzini",Available to download,3.0,2019-12-6,Netflix,https://netflix.com,dff8f76a-36ac-5eb2-980f-938c86fb574d,05/03/2022 14:52:25
13,13,26,https://www.netflix.com/title/81305952,The Woman in the House Across the Street from the Girl in the Window,TVSeries,"Mixing wine, pills, casseroles and an overactive imagination, Anna obsesses over a hunky neighbor across the street and witnesses a murder. Or did she?",18+,TV Mysteries,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABXUoKdhCpQj7-V3gotUUtZu6f_BaBE4emlBzMIw-7hRUk6E431NIETWDzPpbr7mOM5eUUnDPJCtcr_sYBRwEFID3PpTF.jpg?r=899,2022-1-28,"Kristen Bell, Michael Ealy, Tom Riley, Samsara Yett, Mary Holland, Cameron Britton, Christina Anthony, Shelley Hennig, Benjamin Levy Aguilar, Brenda Koo",Available to download,1.0,2022-1-28,Netflix,https://netflix.com,3099deea-7a2b-5180-acbc-31ddac4ca9e8,05/03/2022 14:52:25
14,14,28,https://www.netflix.com/title/80133335,Call My Agent!,TVSeries,"At a top Paris talent firm, agents scramble to keep their star clients happy -- and their business afloat -- after an unexpected crisis.",16+,TV Dramas,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABVegIfFHpJ4HGQo85wkGqkXdGCyw7N6bH1Hr8h1vABYe28S6suaMwEcC328RSsjwwwKWD0sQm2MoPnwfVRUrp0j_FWPS.jpg?r=963,2016-12-20,"Camille Cottin, Thibault de Montalembert, Grégory Montel, Liliane Rovère, Assaad Bouab, Fanny Sidney, Laure Calamy, Nicolas Maury, Stéfi Celma, Ophélia Kolb",Available to download,4.0,2016-12-20,Netflix,https://netflix.com,ae2f65c1-585d-5730-91b8-fffa89799cad,05/03/2022 14:52:28
15,15,29,https://www.netflix.com/title/80222802,Archive 81,TVSeries,An archivist takes a job restoring damaged videotapes and gets pulled into the vortex of a mystery involving the missing director and a demonic cult.,18+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABaRPVUamON6FcHJxqAoH__XXTK6nuyCabKZXrMAwvQpU3PIXM8fxLC44iThrvNuRz7lp3s_AHNf92e_d3fHt6iGNYphA.jpg?r=17a,2022-1-14,"Mamoudou Athie, Dina Shihabi, Matt McGorry, Evan Jonigkeit, Martin Donovan, Julia Chan, Ariana Neal",Available to download,1.0,2022-1-14,Netflix,https://netflix.com,13f0c601-36e6-51fd-85d9-119d8e64721f,05/03/2022 14:52:45
16,16,30,https://www.netflix.com/title/80986854,I Think You Should Leave with Tim Robinson,TVSeries,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,18+,TV Comedies,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABdPfA9cHzJLwFYipFpXs1htHPvc_CF9qXhFHnIGQJ5ywh_SfmvXT0QAz1RYZS16F0wExg5ALmjAsBH-PDXGw5-pp1g-k.jpg?r=a59,2019-4-23,"Tim Robinson, Andy Samberg, Sam Richardson, Will Forte, Fred Willard, Cecily Strong, Tim Heidecker, Kate Berlant, Patti Harrison, Conner O'Malley",Available to download,2.0,2019-4-23,Netflix,https://netflix.com,7a8dc4ac-f99c-5ccc-9dc4-fcb8a84bbeeb,05/03/2022 14:52:45
17,17,34,https://www.netflix.com/title/80153467,Unbelievable,TVSeries,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.",18+,TV Dramas,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABUEt4rYoKb9SOMKAZ6qUPi8Y8nLhL8sfo0uQl92sYsakn-fIUT_unF5kbMvo2nyN9kqKc4Nsx4c7c7j1ebVrTeN3NJMm.jpg?r=bc6,2019-9-13,"Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel",Available to download,1.0,2019-9-13,Netflix,https://netflix.com,ee9ee947-048b-50a2-bcfa-78fa5f3e268a,05/03/2022 14:52:47
18,18,36,https://www.netflix.com/title/70300800,BoJack Horseman,TVSeries,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",18+,Sitcoms,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABboZ8HN9D9tdC0ckGXEP1uTv594kU3QE4PuIfoqz6v--8RtGOZo8VutJI9rzcKOSyzBLHm4xuBSlypADyOly87Ce0Mq1.jpg?r=db0,2016-1-5,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",Available to download,6.0,2016-1-5,Netflix,https://netflix.com,bd7db6fa-f50a-582c-b1b1-e1444dc130a4,05/03/2022 14:52:48
19,19,37,https://www.netflix.com/title/80201680,The Kominsky Method,TVSeries,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.,18+,Sitcoms,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABY2c2u_5UCVPDErXRDlABpmvjkXOvVd78TPoeMvC-stLF83tGaHPPs6ZAYkEJAjAvges4OPg8Y1U3v7P2FvHoh2j_Jz6.jpg?r=899,2018-11-16,"Michael Douglas, Alan Arkin, Sarah Baker, Nancy Travis, Susan Sullivan, Lisa Edelstein, Paul Reiser, Jane Seymour, Kathleen Turner, Haley Joel Osment, Melissa Tang, Graham Rogers, Casey Thomas Brown, Jenna Lyng Adams, Ashleigh LaThrop, Emily Osment, Ann-Margret, Danny DeVito",Available to download,3.0,2018-11-16,Netflix,https://netflix.com,bb35b433-ed48-556f-bdee-43b201532bbb,05/03/2022 14:52:50
20,20,38,https://www.netflix.com/title/80239866,Sweet Magnolias,TVSeries,"Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity.",16+,TV Shows Based on Books,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTQ0dGzOLdA6tFi1wkCyWo_SgTjlKR9i1Uu0KC00xd0_ZyvAkiIzCfLlZsKjMKSyG2forxkg-v8s_L5UqARXKoTHsOYq.jpg?r=507,2020-5-19,"JoAnna Garcia Swisher, Brooke Elliott, Heather Headley, Chris Klein, Justin Bruening, Logan Allen, Anneliese Judge, Carson Rowland, Jamie Lynn Spears, Dion Johnstone, Chris Medlin, Brandon Quinn",Available to download,2.0,2020-5-19,Netflix,https://netflix.com,797f2eef-2ba3-5ad6-a8ee-fd35c41847e6,05/03/2022 14:53:05
21,21,39,https://www.netflix.com/title/81221380,Sweet Tooth,TVSeries,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",16+,Fantasy TV Shows,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTottQYqzF66tztST-VEZ7KEU5d9Wt0El2A6hl2JbNsvZi51DitB-N-gvi2BKLlC40TB2eEDkm9rKDTvO1I8KISPAYME.jpg?r=0c5,2021-6-4,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",Available to download,1.0,2021-6-4,Netflix,https://netflix.com,08ba3d16-60d8-590f-acf9-b258c4edf5ae,05/03/2022 14:53:07
22,22,40,https://www.netflix.com/title/80095697,Disenchantment,TVSeries,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",16+,Fantasy TV Shows,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABZ8im8umpw5U6RerN32aFR7EDHS6KfKJoeCNZhpLQuO3QSRB-zOXwT_aEz9Nig3PyMdrOgR-24tAq8HJNLhBnT9VzJsS.jpg?r=b95,2018-8-17,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West, Richard Ayoade",Available to download,4.0,2018-8-17,Netflix,https://netflix.com,90335f87-053f-5580-ad03-a6cb3bf3ae51,05/03/2022 14:53:08
23,23,42,https://www.netflix.com/title/81132961,True Story,TVSeries,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.,18+,TV Thrillers,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABa3TSliD526vX4kBhrde3pnJjc4gXps5N062ThGATHddHfAL7iv01uzANZUt6z1WuSnOKk1oMD1Ke9cpAcbolbV_Nkb2.jpg?r=574,2021-11-24,"Kevin Hart, Wesley Snipes, Tawny Newsome, Theo Rossi, Will Catlett, Paul Adelstein, Ash Santos, John Ales, Chris Diamantopoulos, Lauren London, Billy Zane",Available to download,1.0,2021-11-24,Netflix,https://netflix.com,8893fc21-6606-5278-ac9b-a92c7c085ddb,05/03/2022 14:53:08
24,24,43,https://www.netflix.com/title/80245103,Halston,TVSeries,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,18+,TV Shows Based on Books,https://occ-0-1492-2186.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTdqTDJfh2Tcs2dWWvf49yi4CtiGNf_rv0gjj8iZQm7eddzeaLV5JrjW0RN0RVxQsafHVKsImuYqwNdn9mYTVOFYlqcf.jpg?r=284,2021-5-14,"Ewan McGregor, Bill Pullman, Rebecca Dayan, David Pittu, Krysta Rodriguez, Rory Culkin, Vera Farmiga, Gian Franco Rodriguez, Sullivan Jones, Kelly Bishop, Dilone, James Waterston, Jason Kravits, Mary Beth Peil",Available to download,1.0,2021-5-14,Netflix,https://netflix.com,8545b9fe-707d-5dad-8a6a-fda51063f374,05/03/2022 14:53:08
